epoch,train_loss,val_loss,val_micro-ap
0,39.83488082885742,34.510467529296875,0.004714511648987372
1,26.577392578125,37.16392135620117,0.017442113715152228
2,32.796844482421875,42.62351608276367,0.0538149937737028
3,36.569541931152344,39.888973236083984,0.11356217477254535
4,30.320709228515625,36.69512939453125,0.12933296960253898
5,37.14662551879883,43.1338996887207,0.13180577113245562
6,33.08720397949219,36.67892837524414,0.16898539596307463
7,31.946489334106445,41.005943298339844,0.17808024011631235
8,26.599506378173828,34.88555908203125,0.20100459379066687
9,29.205589294433594,35.04798889160156,0.2561923442712487
10,23.969480514526367,34.75544738769531,0.2615021400216458
11,31.15910530090332,40.29216766357422,0.294825582588316
12,26.586223602294922,34.43440246582031,0.30268283891035924
13,31.493343353271484,38.614646911621094,0.3362010673106754
14,23.0220890045166,33.80431365966797,0.33686692573973515
15,22.946712493896484,35.37715530395508,0.3461151204648686
16,28.490530014038086,41.179325103759766,0.3012362280833087
17,23.034587860107422,35.903724670410156,0.3337074126515944
18,26.802669525146484,43.360286712646484,0.38132930410176424
19,31.53173065185547,39.213008880615234,0.34274939068076166
20,18.966249465942383,24.220325469970703,0.386691698231288
21,23.972885131835938,43.337745666503906,0.4066132165907415
22,27.033916473388672,37.398048400878906,0.3891378177884993
23,24.57175064086914,45.62255859375,0.4051963530686411
24,23.551483154296875,41.709068298339844,0.39394205174929103
25,24.058914184570312,33.74789810180664,0.37027794886555043
26,27.82341194152832,37.50996398925781,0.3784300972551138
0,34.86082458496094,34.69913101196289,0.22205068166179415
1,37.06926345825195,40.3472785949707,0.29820468090499813
2,32.275177001953125,42.560768127441406,0.28179469857110795
3,29.317089080810547,41.112422943115234,0.35810958362805423
4,33.08208465576172,32.86518859863281,0.4174498301602222
5,30.038427352905273,35.59960174560547,0.48129536592718203
6,31.449962615966797,41.696044921875,0.39251582909714583
7,28.89138412475586,26.89352798461914,0.43261937054520283
8,29.36106300354004,39.728553771972656,0.3747119488062056
9,29.649723052978516,46.5463752746582,0.5170344236825983
10,32.864906311035156,31.403461456298828,0.5247930897446914
11,23.43638801574707,32.09892654418945,0.462746130571574
12,27.28948974609375,37.13003921508789,0.486921296288651
13,30.547836303710938,34.9823112487793,0.5353489992127642
14,20.033109664916992,50.81055450439453,0.5454403993699048
15,18.330547332763672,43.62615966796875,0.4910007998096829
16,25.073501586914062,40.65827941894531,0.5640710032187762
17,24.425315856933594,35.854400634765625,0.5055112544809405
18,24.005958557128906,38.72991943359375,0.5345744690547749
19,23.8044376373291,39.37540054321289,0.5580641885405173
20,19.465538024902344,37.660797119140625,0.5596450055224812
21,19.437665939331055,37.00120162963867,0.5584466310721079
22,18.64482307434082,35.08869934082031,0.5625665315727132
23,23.026613235473633,43.53791046142578,0.549482779662185
24,22.40960121154785,37.16508483886719,0.559959901536955
